targetMuscle,title,src
neck,Chin Tuck,https://fitnessprogramer.com/wp-content/uploads/2021/06/Chin-Tuck.gif
neck,Prone Cervical Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Prone-Cervical-Extension.gif
neck,Kneeling Neck Stretch,https://fitnessprogramer.com/wp-content/uploads/2022/02/Kneeling-Neck-Stretch.gif
neck,Weighted Neck Harness Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Weighted-Neck-Harness-Extension.gif
neck,Lying Weighted Neck Flexion,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lying-Weighted-Neck-Flexion.gif
neck,Lying Weighted Neck Extension,https://fitnessprogramer.com/wp-content/uploads/2022/02/Lying-Weighted-Neck-Extension.gif
neck,Lever Neck Right Side Flexion (plate loaded),https://fitnessprogramer.com/wp-content/uploads/2022/02/Lever-Neck-Right-Side-Flexion-plate-loaded.gif
neck,Lever Neck Extension (plate loaded),https://fitnessprogramer.com/wp-content/uploads/2022/02/Lever-Neck-Extension-plate-loaded.gif
neck,Cable Seated Neck Flexion with head harness,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Seated-Neck-Flexion-with-head-harness.gif
neck,Cable Seated Neck Extension with head harness,https://fitnessprogramer.com/wp-content/uploads/2022/02/Cable-Seated-Neck-Extension-with-head-harness.gif
neck,Sphinx Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/05/Sphinx-Stretch.gif
neck,Floor Hyperextension,https://fitnessprogramer.com/wp-content/uploads/2021/04/Floor-Hyperextension-1.gif
neck,Bhujangasana | Cobra Abdominal Stretch,https://fitnessprogramer.com/wp-content/uploads/2021/06/abdominal-stretch.gif
neck,Fish Pose,https://fitnessprogramer.com/wp-content/uploads/2022/02/Fish-Pose-Matsyasana.gif
neck,Superman,https://fitnessprogramer.com/wp-content/uploads/2021/02/Superman-exercise.gif
trapezius,Overhead Shrug,https://fitnessprogramer.com/wp-content/uploads/2022/07/overhead-shrug.gif
trapezius,Gittleson Shrug,https://fitnessprogramer.com/wp-content/uploads/2022/01/Dumbbell-Seated-Gittleson-Shrug.gif
trapezius,45 Degree Incline Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/45-Degree-Incline-Row.gif
trapezius,Dumbbell Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Shrug.gif
trapezius,Cable Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Cable-Shrug.gif
trapezius,Barbell Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Shrug.gif
trapezius,Behind The Back Barbell Shrug,https://fitnessprogramer.com/wp-content/uploads/2023/03/Behind-The-Back-Barbell-Shrug-Reverse-Barbell-Shrug.gif
trapezius,Dumbbell Incline Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Incline-Shrug.gif
trapezius,Prone Incline Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Decline-Shrug.gif
trapezius,Lever Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/04/Lever-Shrug.gif
trapezius,Rear Delt Fly Machine,https://fitnessprogramer.com/wp-content/uploads/2021/02/Rear-Delt-Machine-Flys.gif
trapezius,Lever Gripless Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/06/Lever-Gripless-Shrug.gif
trapezius,Cable Rear Delt Fly,https://fitnessprogramer.com/wp-content/uploads/2021/02/cable-rear-delt-fly.gif
trapezius,Bent Over Lateral Raise,https://fitnessprogramer.com/wp-content/uploads/2021/02/Bent-Over-Lateral-Raise.gif
trapezius,Cable Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Cable-Upright-Row.gif
trapezius,Face Pull,https://fitnessprogramer.com/wp-content/uploads/2021/02/Face-Pull.gif
trapezius,Half Kneeling High Cable Row Rope,https://fitnessprogramer.com/wp-content/uploads/2021/04/Half-Kneeling-High-Cable-Row-Rope.gif
trapezius,Dumbbell Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Raise.gif
trapezius,Dumbbell Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/04/Dumbbell-Upright-Row.gif
trapezius,Bodyweight Military Press,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bodyweight-Military-Press.gif
trapezius,Kneeling High Pulley Row,https://fitnessprogramer.com/wp-content/uploads/2021/09/Kneeling-High-Pulley-Row.gif
trapezius,Ez Bar Upright Row,https://fitnessprogramer.com/wp-content/uploads/2021/02/Barbell-Upright-Row.gif
trapezius,Band Pull-Apart,https://fitnessprogramer.com/wp-content/uploads/2021/06/Band-pull-apart.gif
trapezius,Bent Over Reverse Cable Fly,https://fitnessprogramer.com/wp-content/uploads/2021/04/bent-over-reverse-cable-fly.gif
trapezius,Bent-Over Barbell Reverse Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Bent-Over-Barbell-Reverse-Raise.gif
trapezius,Barbell Rear Delt Raise,https://fitnessprogramer.com/wp-content/uploads/2021/04/Barbell-Rear-Delt-Raise.gif
trapezius,Smith Machine Shrug,https://fitnessprogramer.com/wp-content/uploads/2021/10/smith-machine-shrug.gif
trapezius,Incline Dumbbell Reverse Fly,https://fitnessprogramer.com/wp-content/uploads/2021/02/Dumbbell-Reverse-Fly.gif
trapezius,Incline Dumbbell Y-Raise,https://fitnessprogramer.com/wp-content/uploads/2021/10/Incline-Dumbbell-Y-Raise.gif
trapezius,Dumbbell Incline T-Raise,https://fitnessprogramer.com/wp-content/uploads/2021/09/Dumbbell-Incline-T-Raise.gif
trapezius,Swimming,https://fitnessprogramer.com/wp-content/uploads/2021/05/Swimming.gif
trapezius,Bent Over Rear Delt Fly | Gymstick,https://fitnessprogramer.com/wp-content/uploads/2022/05/Bent-Over-Rear-Delt-Fly-Gymstick.gif
trapezius,Scapular Protraction and Retraction,https://fitnessprogramer.com/wp-content/uploads/2021/10/Scapular-Protraction-and-Retraction.gif
trapezius,Cross Cable Face Pull,https://fitnessprogramer.com/wp-content/uploads/2022/04/Cross-Cable-Face-Pull.gif
trapezius,Elbow Reverse Push-Up,https://fitnessprogramer.com/wp-content/uploads/2021/08/Elbow-Reverse-Push-Up.gif
trapezius,Scapula Dips,https://fitnessprogramer.com/wp-content/uploads/2021/09/Scapula-Dips.gif
trapezius,Push-Up Plus,https://fitnessprogramer.com/wp-content/uploads/2021/06/Push-Up-Plus.gif
trapezius,Seated Ballerina Exercise,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Ballerina.gif
trapezius,Seated Scapular Retraction Exercise,https://fitnessprogramer.com/wp-content/uploads/2022/02/Seated-Scapular-Retraction-Exercise.gif
trapezius,Foam Roller Rhomboids,https://fitnessprogramer.com/wp-content/uploads/2022/02/Roll-Rhomboids.gif
trapezius,Foam Roller Upper Back,https://fitnessprogramer.com/wp-content/uploads/2022/02/Foam-Roller-Upper-Back.gif
trapezius,Scapula Pull-up,https://fitnessprogramer.com/wp-content/uploads/2022/01/Scapula-Pull-up.gif
trapezius,Serratus Wall Slide With Foam Roller,https://fitnessprogramer.com/wp-content/uploads/2022/02/Serratus-Wall-Slide-With-Foam-Roller.gif
trapezius,Dip Shrugs (Serratus Shrugs),https://fitnessprogramer.com/wp-content/uploads/2022/02/Dip-Shrugs.gif
trapezius,Wide Grip Barbell Bent Over Row Plus,https://fitnessprogramer.com/wp-content/uploads/2023/02/Wide-Grip-Barbell-Bent-Over-Row-Plus.gif
trapezius,Wide Grip Alternate Barbell Bent Over Row Plus,https://fitnessprogramer.com/wp-content/uploads/2023/02/Wide-Grip-Alternate-Barbell-Bent-Over-Row-Plus.gif
